country,iso3,g_whoregion,year,pulm_labconf_new,mdr_new,xdr
Afghanistan,AFG,EMR,2017,19354,,5
Afghanistan,AFG,EMR,2018,20485,,8
Afghanistan,AFG,EMR,2019,24358,23,5
Afghanistan,AFG,EMR,2020,22855,105,
Albania,ALB,EUR,2017,195,0,0
Albania,ALB,EUR,2018,198,1,
Albania,ALB,EUR,2019,211,0,0
Albania,ALB,EUR,2020,134,,
Algeria,DZA,AFR,2017,6278,11,4
Algeria,DZA,AFR,2018,6137,2,4
Algeria,DZA,AFR,2019,5422,8,5
Algeria,DZA,AFR,2020,4114,7,
American Samoa,ASM,WPR,2017,3,1,0
American Samoa,ASM,WPR,2018,0,0,0
American Samoa,ASM,WPR,2019,1,0,0
American Samoa,ASM,WPR,2020,3,0,
Andorra,AND,EUR,2017,1,0,0
Andorra,AND,EUR,2018,2,0,0
Andorra,AND,EUR,2019,4,0,0
Andorra,AND,EUR,2020,1,0,
Angola,AGO,AFR,2017,24490,0,0
Angola,AGO,AFR,2018,31098,0,0
Angola,AGO,AFR,2019,34887,0,0
Angola,AGO,AFR,2020,31018,250,
Anguilla,AIA,AMR,2017,,,
Anguilla,AIA,AMR,2018,,,
Anguilla,AIA,AMR,2019,,,
Anguilla,AIA,AMR,2020,,,
Antigua and Barbuda,ATG,AMR,2017,1,0,0
Antigua and Barbuda,ATG,AMR,2018,2,0,0
Antigua and Barbuda,ATG,AMR,2019,0,0,0
Antigua and Barbuda,ATG,AMR,2020,1,0,
Argentina,ARG,AMR,2017,5287,30,6
Argentina,ARG,AMR,2018,5694,68,9
Argentina,ARG,AMR,2019,5079,40,3
Argentina,ARG,AMR,2020,4653,57,
Armenia,ARM,EUR,2017,326,40,13
Armenia,ARM,EUR,2018,254,43,14
Armenia,ARM,EUR,2019,239,33,12
Armenia,ARM,EUR,2020,199,26,
Aruba,ABW,AMR,2017,2,,
Aruba,ABW,AMR,2018,5,,
Aruba,ABW,AMR,2019,1,0,0
Aruba,ABW,AMR,2020,1,0,
Australia,AUS,WPR,2017,745,12,0
Australia,AUS,WPR,2018,763,21,1
Australia,AUS,WPR,2019,768,15,1
Australia,AUS,WPR,2020,781,10,
Austria,AUT,EUR,2017,293,11,2
Austria,AUT,EUR,2018,232,10,0
Austria,AUT,EUR,2019,220,2,0
Austria,AUT,EUR,2020,199,0,
Azerbaijan,AZE,EUR,2017,2023,170,
Azerbaijan,AZE,EUR,2018,1988,160,
Azerbaijan,AZE,EUR,2019,1911,111,89
Azerbaijan,AZE,EUR,2020,1331,122,
Bahamas,BHS,AMR,2017,16,0,0
Bahamas,BHS,AMR,2018,18,0,0
Bahamas,BHS,AMR,2019,19,0,0
Bahamas,BHS,AMR,2020,20,0,
Bahrain,BHR,EMR,2017,80,1,0
Bahrain,BHR,EMR,2018,79,3,
Bahrain,BHR,EMR,2019,101,2,0
Bahrain,BHR,EMR,2020,104,0,
Bangladesh,BGD,SEA,2017,140752,15,0
Bangladesh,BGD,SEA,2018,149751,4,6
Bangladesh,BGD,SEA,2019,162194,0,
Bangladesh,BGD,SEA,2020,136914,0,
Barbados,BRB,AMR,2017,0,0,0
Barbados,BRB,AMR,2018,1,0,0
Barbados,BRB,AMR,2019,0,0,0
Barbados,BRB,AMR,2020,2,0,
Belarus,BLR,EUR,2017,1690,629,343
Belarus,BLR,EUR,2018,1529,559,185
Belarus,BLR,EUR,2019,1490,503,185
Belarus,BLR,EUR,2020,1015,364,
Belgium,BEL,EUR,2017,465,1,0
Belgium,BEL,EUR,2018,476,5,3
Belgium,BEL,EUR,2019,494,9,0
Belgium,BEL,EUR,2020,372,2,
Belize,BLZ,AMR,2017,68,,0
Belize,BLZ,AMR,2018,55,0,0
Belize,BLZ,AMR,2019,63,0,0
Belize,BLZ,AMR,2020,67,,
Benin,BEN,AFR,2017,2783,0,0
Benin,BEN,AFR,2018,3148,,0
Benin,BEN,AFR,2019,3335,0,0
Benin,BEN,AFR,2020,3043,12,
Bermuda,BMU,AMR,2017,1,0,0
Bermuda,BMU,AMR,2018,2,0,0
Bermuda,BMU,AMR,2019,1,0,0
Bermuda,BMU,AMR,2020,2,0,
Bhutan,BTN,SEA,2017,402,47,0
Bhutan,BTN,SEA,2018,396,46,0
Bhutan,BTN,SEA,2019,476,60,1
Bhutan,BTN,SEA,2020,434,42,
Bolivia (Plurinational State of),BOL,AMR,2017,4978,37,0
Bolivia (Plurinational State of),BOL,AMR,2018,5303,41,1
Bolivia (Plurinational State of),BOL,AMR,2019,5203,,
Bolivia (Plurinational State of),BOL,AMR,2020,4232,0,
Bosnia and Herzegovina,BIH,EUR,2017,434,0,
Bosnia and Herzegovina,BIH,EUR,2018,410,0,
Bosnia and Herzegovina,BIH,EUR,2019,319,,
Bosnia and Herzegovina,BIH,EUR,2020,213,0,
Botswana,BWA,AFR,2017,1129,,
Botswana,BWA,AFR,2018,908,,
Botswana,BWA,AFR,2019,514,13,
Botswana,BWA,AFR,2020,,,
Brazil,BRA,AMR,2017,45341,,16
Brazil,BRA,AMR,2018,49472,,6
Brazil,BRA,AMR,2019,49885,105,16
Brazil,BRA,AMR,2020,44454,66,
British Virgin Islands,VGB,AMR,2017,,,
British Virgin Islands,VGB,AMR,2018,,,
British Virgin Islands,VGB,AMR,2019,,,
British Virgin Islands,VGB,AMR,2020,,,
Brunei Darussalam,BRN,WPR,2017,170,0,0
Brunei Darussalam,BRN,WPR,2018,197,0,0
Brunei Darussalam,BRN,WPR,2019,194,0,0
Brunei Darussalam,BRN,WPR,2020,229,0,
Bulgaria,BGR,EUR,2017,619,13,1
Bulgaria,BGR,EUR,2018,549,10,0
Bulgaria,BGR,EUR,2019,577,6,0
Bulgaria,BGR,EUR,2020,397,5,
Burkina Faso,BFA,AFR,2017,3613,14,1
Burkina Faso,BFA,AFR,2018,3936,15,0
Burkina Faso,BFA,AFR,2019,3234,26,2
Burkina Faso,BFA,AFR,2020,3639,38,
